Category,Year,Commencements
Female,2017,345276
Male,2017,273397
Other,2017,411
Total,2017,619084
Female,2018,353073
Male,2018,278282
Other,2018,499
Total,2018,631854
Female,2019,361008
Male,2019,283716
Other,2019,604
Total,2019,645328
Female,2020,370120
Male,2020,270200
Other,2020,915
Total,2020,641235
Female,2021,351542
Male,2021,247699
Other,2021,1674
Total,2021,600915
Female,2022,341302
Male,2022,250185
Other,2022,2069
Total,2022,593556
Female,2023,370328
Male,2023,287328
Other,2023,2558
Total,2023,660214
Female,2024,392739
Male,2024,294054
Other,2024,2710
Total,2024,689503
