Year,Enrolments,Citizenship,State,Institution
2018,1113,Domestic,Australian Capital Territory,Non-University Higher Education Providers
2018,3,International,Australian Capital Territory,Non-University Higher Education Providers
2018,15820,Domestic,Australian Capital Territory,The Australian National University
2018,10575,International,Australian Capital Territory,The Australian National University
2018,13163,Domestic,Australian Capital Territory,University of Canberra
2018,3405,International,Australian Capital Territory,University of Canberra
2018,19075,Domestic,Grand Total,The University of Western Australia
2018,480110,International,Grand Total,The University of Western Australia
2018,29557,Domestic,Multi-State,Australian Catholic University
2018,4471,International,Multi-State,Australian Catholic University
2018,3202,Domestic,Multi-State,Non-University Higher Education Providers
2018,134,International,Multi-State,Non-University Higher Education Providers
2018,1127,Domestic,New South Wales,Avondale University
2018,130,International,New South Wales,Avondale University
2018,32537,Domestic,New South Wales,Charles Sturt University
2018,10813,International,New South Wales,Charles Sturt University
2018,32796,Domestic,New South Wales,Macquarie University
2018,11748,International,New South Wales,Macquarie University
2018,34180,Domestic,New South Wales,Non-University Higher Education Providers
2018,25444,International,New South Wales,Non-University Higher Education Providers
2018,13714,Domestic,New South Wales,Southern Cross University
2018,4949,International,New South Wales,Southern Cross University
2018,21950,Domestic,New South Wales,The University of New England
2018,1494,International,New South Wales,The University of New England
2018,29021,Domestic,New South Wales,The University of Newcastle
2018,5841,International,New South Wales,The University of Newcastle
2018,40777,Domestic,New South Wales,The University of Sydney
2018,26041,International,New South Wales,The University of Sydney
2018,39312,Domestic,New South Wales,University of New South Wales
2018,23114,International,New South Wales,University of New South Wales
2018,30745,Domestic,New South Wales,University of Technology Sydney
2018,15257,International,New South Wales,University of Technology Sydney
2018,19249,Domestic,New South Wales,University of Wollongong
2018,15079,International,New South Wales,University of Wollongong
2018,41228,Domestic,New South Wales,Western Sydney University
2018,7193,International,New South Wales,Western Sydney University
2018,18,Domestic,Northern Territory,Charles Darwin University
2018,1991,International,Northern Territory,Charles Darwin University
2018,195557,Domestic,Queensland,Bond University
2018,3342,International,Queensland,Bond University
2018,2986,Domestic,Queensland,CQUniversity
2018,7517,International,Queensland,CQUniversity
