Year,State,Enrolments
2020,Australian Capital Territory,42565
2020,New South Wales,502476
2020,Northern Territory,13827
2020,Queensland,260879
2020,South Australia,124814
2020,Tasmania,41896
2020,Victoria,452705
2020,Western Australia,148193
2021,Australian Capital Territory,42950
2021,New South Wales,496693
2021,Northern Territory,14669
2021,Queensland,258303
2021,South Australia,124969
2021,Tasmania,36349
2021,Victoria,445449
2021,Western Australia,147502
2022,Australian Capital Territory,42672
2022,New South Wales,487403
2022,Northern Territory,12974
2022,Queensland,246197
2022,South Australia,123731
2022,Tasmania,33536
2022,Victoria,426278
2022,Western Australia,143333
2023,Australian Capital Territory,42675
2023,New South Wales,510031
2023,Northern Territory,13039
2023,Queensland,248049
2023,South Australia,123634
2023,Tasmania,31513
2023,Victoria,444913
2023,Western Australia,151872
